,nvotes,r,t
0,74.80150044494385,157.06030380266276,1.5289084247470326
1,71.702967791997,77.44824304213023,-0.020943951023931984
2,67.25972523989566,69.48703696607691,-0.020943951023931984
3,65.12065883591819,188.9051281068758,-0.020943951023931984
4,63.490233834059616,141.13789165055624,1.5289084247470326
5,60.81883923091329,-169.3491453155207,-1.5707963267948966
6,59.49927449172319,188.9051281068758,1.5289084247470326
7,58.22683311869836,-161.38793923946744,-1.5707963267948966
8,57.904363891745035,180.94392203082253,1.5289084247470326
9,56.651232735997986,29.681006585810678,1.5289084247470326
10,54.96576668021434,93.37065519423675,1.5289084247470326
11,54.09951695828522,165.02150987871602,-0.020943951023931984
12,54.081141800791436,85.40944911818349,1.5289084247470326
